layer,probe,mean_r2,std_r2,best_lr,best_wd
0,velocity_xy,0.7463464468717576,0.0323875681468701,0.003,0.01
1,velocity_xy,0.8315365821123123,0.028112898923215893,0.003,0.01
2,velocity_xy,0.8706567600369454,0.021460960827071468,0.003,0.01
3,velocity_xy,0.8681241989135742,0.01928663696662448,0.003,0.01
4,velocity_xy,0.8932945027947425,0.012139978546445109,0.003,0.01
5,velocity_xy,0.9362464755773544,0.005334010675993603,0.003,0.1
6,velocity_xy,0.948973598331213,0.00529260864507772,0.003,0.1
7,velocity_xy,0.9638398580253125,0.0058028616528969235,0.005,0.1
8,velocity_xy,0.9836548464372754,0.002457414639489624,0.005,0.1
9,velocity_xy,0.9858671877533197,0.0023593705044078145,0.005,0.1
10,velocity_xy,0.9884921826422215,0.0013654621325902914,0.005,0.1
11,velocity_xy,0.9891003368422389,0.0008293710772621584,0.005,0.1
12,velocity_xy,0.9865050848573447,0.0015626988568642006,0.005,0.1
13,velocity_xy,0.9862993178889156,0.002617272185252511,0.005,0.1
14,velocity_xy,0.9846496464684605,0.0013618030629159352,0.005,0.1
15,velocity_xy,0.9829361910000444,0.0021796879533836585,0.005,0.1
16,velocity_xy,0.9819581747055054,0.0021259975326012224,0.005,0.1
17,velocity_xy,0.9821236867457628,0.0018030493855244571,0.005,0.1
18,velocity_xy,0.9833185166120529,0.0016081599571755453,0.005,0.01
19,velocity_xy,0.9805523078888655,0.0025007524241436947,0.005,0.01
20,velocity_xy,0.9827654220163822,0.0021710441639201717,0.005,0.1
21,velocity_xy,0.9819582307711243,0.003713593298078067,0.005,0.01
22,velocity_xy,0.9827410047873855,0.0025804723512999833,0.005,0.01
23,velocity_xy,0.981382698006928,0.0034981856573947537,0.005,0.01
0,acceleration_xy,0.6524693131446838,0.02396763460681279,0.001,0.1
1,acceleration_xy,0.7922875881195068,0.026428507444829344,0.0003,0.01
2,acceleration_xy,0.8394905969500541,0.03112725889875958,0.003,0.01
3,acceleration_xy,0.8360430151224136,0.021281953337450758,0.003,0.1
4,acceleration_xy,0.8493987962603569,0.020925531110948737,0.003,0.1
5,acceleration_xy,0.9397511065006257,0.013412317540199357,0.001,0.8
6,acceleration_xy,0.9340710356831551,0.009517351955560265,0.003,0.4
7,acceleration_xy,0.9467817708849907,0.0078276542877044,0.003,0.1
8,acceleration_xy,0.9765744052827359,0.001967486195736413,0.005,0.1
9,acceleration_xy,0.9768612422049046,0.0029406472209467715,0.005,0.1
10,acceleration_xy,0.9768989764153957,0.002155324585549492,0.005,0.1
11,acceleration_xy,0.983756285533309,0.0012396533252824677,0.005,0.1
12,acceleration_xy,0.9806904133409262,0.0019480496445439333,0.005,0.1
13,acceleration_xy,0.9803847577422857,0.001381181320394814,0.005,0.1
14,acceleration_xy,0.9807324318215251,0.002968671662765628,0.005,0.1
15,acceleration_xy,0.9780134610831738,0.0034757444070219567,0.005,0.1
16,acceleration_xy,0.9774592723697424,0.0024076576449915395,0.005,0.1
17,acceleration_xy,0.9796239253133535,0.003068962820145894,0.005,0.1
18,acceleration_xy,0.9767533171921968,0.0038816861100902846,0.005,0.1
19,acceleration_xy,0.9784312043339014,0.003607968614276399,0.005,0.1
20,acceleration_xy,0.979129321500659,0.0034497605322692804,0.005,0.1
21,acceleration_xy,0.9836784863844514,0.002963507244946131,0.005,0.1
22,acceleration_xy,0.9796858560293913,0.0031608200450829833,0.005,0.1
23,acceleration_xy,0.977993524633348,0.003975951139326556,0.005,0.01
